Mt	26913	*	0	-
Mt	267745	2	6035122	-
Mt	267745	9	46797162	-
Mt	267745	1	13813093	-
Mt	267745	1	27616798	+
Mt	313450	2	68432466	+
Pt	79519	2	66739073	+
Pt	79519	7	10259499	-
Mt	17207	*	0	-
Pt	116456	3	46830196	+
Pt	116456	4	64242554	-
Mt	58744	8	7067072	+
Mt	58744	5	62834228	+
Pt	140068	10	55318656	+
Pt	140068	5	6066679	-
Mt	486574	*	0	-
Pt	6392	1	58110699	-
Mt	308155	*	0	-
Mt	99693	2	41902143	-
Pt	77252	6	49034578	-
Mt	280400	*	0	-
Mt	37306	*	0	-
Mt	376214	*	0	-
Mt	160501	10	42326498	+
Mt	160501	9	7487895	+
Mt	160501	6	49089258	+
Mt	541369	*	0	-
Mt	129509	*	0	-
Pt	112993	4	37408314	-
Mt	468544	*	0	-
Pt	139824	9	14848567	+
Pt	113707	1	22237176	-
Mt	157640	*	0	-
Mt	236902	*	0	-
Mt	273331	*	0	-
Mt	277988	*	0	-
Mt	105917	9	45988851	+
Mt	564155	*	0	-
Mt	222181	*	0	-
Mt	222801	*	0	-
Mt	369060	3	53379582	-
Pt	114343	2	66739875	-
Pt	114343	3	61904218	+
Pt	114343	1	17937146	-
Mt	361927	*	0	-
Mt	288627	*	0	-
Pt	32820	3	28854961	-
Pt	32820	6	46934976	+
Pt	32820	6	46931571	+
Pt	32820	3	14189776	+
Mt	155608	*	0	-
Mt	262806	*	0	-
Mt	63562	*	0	-
Pt	21468	2	41902834	-
Pt	21468	3	38363742	-
Pt	21468	4	11817802	+
Pt	21468	10	2115038	+
Mt	372870	*	0	-
Pt	75623	10	52602228	-
Pt	75623	10	44775751	-
Pt	75623	8	4731141	-
Pt	75623	2	2696916	-
Pt	75623	3	38376704	+
Pt	75623	4	4725607	+
Mt	262384	*	0	-
Mt	295310	*	0	-
Mt	224213	*	0	-
Mt	293481	*	0	-
Mt	441570	*	0	-
Mt	310906	5	53194013	+
Mt	138553	*	0	-
Pt	75428	3	28848705	-
Pt	75428	1	75055432	-
Mt	319613	*	0	-
Mt	509973	2	41892656	-
Mt	261340	8	2645766	-
Mt	60824	*	0	-
Mt	271154	9	34118693	-
Mt	271154	9	33800721	-
Mt	271154	6	1982965	+
Mt	344813	8	45491852	+
Mt	344813	1	77434254	+
Mt	433538	6	15984929	-
Mt	142490	*	0	-
Mt	487871	*	0	-
Pt	26983	3	28856981	-
Mt	21090	*	0	-
Mt	24646	*	0	-
Mt	550608	*	0	-
Mt	42603	*	0	-
Pt	105072	4	54008288	-
Pt	105072	1	75725769	-
Pt	105072	3	468607	-
Pt	105072	6	2842779	-
Pt	105072	2	66735623	-
Pt	105072	4	59774597	+
Pt	105072	1	73291445	-
Pt	105072	1	10516174	+
Pt	105072	3	18813519	+
Mt	565003	10	8917261	+
Mt	565003	9	30780352	-
Mt	565003	8	13019695	+
Mt	565003	4	58790115	+
Mt	200741	8	139217	-
Pt	24733	3	38362882	-
Pt	24733	10	53851370	-
Mt	504158	3	38336145	+
Mt	348199	9	46368971	-
Mt	348199	3	38362359	-
Mt	348199	5	24772972	+
Mt	348199	5	67714889	+
B73V4_ctg150	48840	7	7665708	+
B73V4_ctg150	48840	7	7617544	-
B73V4_ctg150	205855	*	0	-
B73V4_ctg150	262374	7	7560035	-
B73V4_ctg150	272045	7	7556163	-
B73V4_ctg150	478489	7	7219268	+
B73V4_ctg150	478489	7	7249523	+
B73V4_ctg150	478489	7	7419485	+
B73V4_ctg150	478489	7	7419485	+
B73V4_ctg150	478489	7	7173152	+
B73V4_ctg150	478489	7	7296786	+
B73V4_ctg150	478489	7	7411198	+
B73V4_ctg150	478489	7	7356162	+
B73V4_ctg150	478489	7	7197947	+
B73V4_ctg150	478489	7	7183231	+
B73V4_ctg150	572908	7	7219268	+
B73V4_ctg150	572908	7	7534749	+
B73V4_ctg150	572908	7	7467871	+
B73V4_ctg150	572908	7	7173152	+
B73V4_ctg150	572908	7	7305072	+
B73V4_ctg150	572908	7	7229423	+
B73V4_ctg150	572908	7	7188404	+
B73V4_ctg150	572908	7	7219316	+
B73V4_ctg150	572908	7	7419485	+
B73V4_ctg150	572908	7	7364448	+
B73V4_ctg150	572908	7	7249523	+
B73V4_ctg150	572908	7	7419748	+
B73V4_ctg150	572908	7	7305334	+
B73V4_ctg150	572908	7	7364710	+
B73V4_ctg150	572908	7	7197947	+
B73V4_ctg150	597986	7	7036791	-
B73V4_ctg150	735500	7	6995003	+
B73V4_ctg150	816802	10	4031715	-
B73V4_ctg150	816802	1	80830856	-
B73V4_ctg150	816802	5	3424337	+
B73V4_ctg150	1141510	7	6974814	+
B73V4_ctg150	1141510	8	492507	+
B73V4_ctg150	1171438	7	6995003	+
B73V4_ctg150	1299160	7	6995003	-
B73V4_ctg150	1370542	7	6974660	-
B73V4_ctg182	40799	1	57720753	-
B73V4_ctg182	41961	10	5516304	+
B73V4_ctg182	72804	1	57681991	-
B73V4_ctg182	118656	1	57353964	+
B73V4_ctg182	259037	3	14229114	-
B73V4_ctg182	259037	3	14251877	-
B73V4_ctg182	378277	1	57382534	+
B73V4_ctg182	384330	1	57388976	+
B73V4_ctg182	424379	*	0	-
